C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/14/2015,00:00:00,REGULAR,0005044592,0001708765                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/14/2015,04:00:00,REGULAR,0005044645,0001708772                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/14/2015,08:00:00,REGULAR,0005044659,0001708793                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/14/2015,12:00:00,REGULAR,0005044760,0001708916                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/14/2015,16:00:00,REGULAR,0005045000,0001708980                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/14/2015,20:00:00,REGULAR,0005045378,0001709040                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/15/2015,00:00:00,REGULAR,0005045551,0001709069                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/15/2015,04:00:00,REGULAR,0005045585,0001709073                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/15/2015,08:00:00,REGULAR,0005045595,0001709087                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/15/2015,12:00:00,REGULAR,0005045681,0001709155                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/15/2015,16:00:00,REGULAR,0005045866,0001709200                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/15/2015,20:00:00,REGULAR,0005046149,0001709243                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/16/2015,00:00:00,REGULAR,0005046246,0001709269                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/16/2015,04:00:00,REGULAR,0005046260,0001709270                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/16/2015,08:00:00,REGULAR,0005046298,0001709375                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/16/2015,12:00:00,REGULAR,0005046468,0001709676                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/16/2015,16:00:00,REGULAR,0005046817,0001709745                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/16/2015,20:00:00,REGULAR,0005047759,0001709834                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/17/2015,00:00:00,REGULAR,0005047969,0001709852                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/17/2015,04:00:00,REGULAR,0005047983,0001709856                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/17/2015,07:40:35,REGULAR,0005048018,0001709932                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/17/2015,08:00:00,REGULAR,0005048026,0001709964                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/17/2015,12:00:00,REGULAR,0005048191,0001710270                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/17/2015,16:00:00,REGULAR,0005048513,0001710347                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/17/2015,20:00:00,REGULAR,0005049492,0001710423                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/18/2015,00:00:00,REGULAR,0005049746,0001710460                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/18/2015,04:00:00,REGULAR,0005049762,0001710466                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/18/2015,08:00:00,REGULAR,0005049806,0001710585                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/18/2015,12:00:00,REGULAR,0005049989,0001710914                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/18/2015,16:00:00,REGULAR,0005050330,0001710992                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/18/2015,20:00:00,REGULAR,0005051275,0001711068                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/19/2015,00:00:00,REGULAR,0005051500,0001711116                                     
