movie_title,domestic_total_gross,release_date,genre,rt_critics
The Empire Strikes Back,209398025,"May 21, 1980",Sci-Fi,97
9 to 5,103290500,"December 19, 1980",Comedy,73
Stir Crazy,101300000,"December 12, 1980",Comedy,77
Airplane!,83453539,"June 27, 1980",Comedy,73
Any Which Way You Can,70687344,"December 17, 1980",Action,45
Private Benjamin,69847348,"October 10, 1980",Comedy,60
Coal Miner's Daughter,67182787,"March 7, 1980",Music,86
Smokey and the Bandit II,66132626,"August 15, 1980",Action,46
The Blue Lagoon,58853106,"June 20, 1980",Romance,54
The Blues Brothers,57229890,"June 20, 1980",Comedy,93
Ordinary People,54766923,"September 19, 1980",Drama,88
Popeye,49823037,"December 12, 1980",Musical,76
Urban Cowboy,46918287,"June 6, 1980",Romance,82
The Shining,44017374,"May 23, 1980",Horror,93
Seems Like Old Times,43995918,"December 19, 1980",Romantic,64
Cheech & Chong's Next Movie,41675194,"July 18, 1980",Comedy,72
Caddyshack,39846344,"July 25, 1980",Sports,88
Friday the 13th,39754601,"May 9, 1980",Horror,46
Brubaker,37121708,"June 20, 1980",Drama,75
Little Darlings,34326249,"March 21, 1980",Comedy,75
Dressed to Kill,31899000,"June 23, 1980",Thriller,75
The Jazz Singer,27118000,"December 19, 1980",Music,57
Flash Gordon,27107960,"December 5, 1980",Sci-Fi,70
Lady and the Tramp,26114207,"March 7, 1980",Animation,80
The Elephant Man,26010864,"October 3, 1980",Period,93
Bronco Billy,24265659,"June 11, 1980",Comedy,48
Raging Bull,23334953,"November 14, 1980",Sports,93
Xanadu,22762571,"August 8, 1980",Musical,58
American Gigolo,22743674,"February 1, 1980",Romantic,51
My Bodyguard,22482952,"July 11, 1980",Comedy,69
The Fog,21378361,"February 1, 1980",Horror,19
Fame,21202829,"May 16, 1980",Music,35
Tess,20093330,"December 12, 1980",Romance,78
Altered States,19853892,"December 25, 1980",Sci-Fi,71
Song of the South,19800000,"October 8, 1980",Family,74
Cruising,19784223,"February 15, 1980",Thriller,49
The Octagon,18971000,"August 14, 1980",Action,31
The Aristocats,18000000,"December 19, 1980",Animation,70
Honeysuckle Rose,17815212,"July 18, 1980",Music,82
Herbie Goes Bananas,17000000,"June 25, 1980",Family,38
Rough Cut,16656125,"June 20, 1980",Romantic,69
The Final Countdown,16647800,"August 1, 1980",Sci-Fi,62
The Hunter,16274150,"August 1, 1980",Action,68
Hero at Large,15934737,"February 8, 1980",Comedy,51
The Long Riders,15795189,"May 16, 1980",Western,74
The Island,15716828,"June 13, 1980",Adventure,64
Close Encounters of the Third Kind,15693175,"November 14, 1980",Sci-Fi,85
First Family,15198912,"December 25, 1980",Comedy,10
Prom Night,14796236,"August 15, 1980",Horror,38
The Nude Bomb,14662035,"May 9, 1980",Comedy,39
"Oh, God! Book II",14504277,"October 3, 1980",Fantasy,38
The Competition,14287755,"December 3, 1980",Music,64
Wholly Moses,14155617,"June 13, 1980",Comedy,44
Mary Poppins,14000000,"May 23, 1980",Musical,86
Last Married Couple in America,12835544,"February 8, 1980",Comedy,23
Used Cars,11715321,"July 18, 1980",Comedy,70
The Mirror Crack'd,11000000,"December 19, 1980",Thriller,47
The Last Flight of Noah's Ark,11000000,"July 27, 1980",Family,49
The Fiendish Plot of Dr. Fu Manchu,10697276,"August 8, 1980",Comedy,48
Stardust Memories,10389003,"September 26, 1980",Comedy,79
The Hollywood Knights,10000000,"May 16, 1980",Comedy,73
Serial,9870727,"March 28, 1980",Comedy,80
Somewhere in Time,9709597,"October 3, 1980",Romance,89
Saturn 3,9000000,"February 15, 1980",Sci-Fi,30
Tribute,9000000,"December 14, 1980",nan,48
The Formula,8894289,"December 19, 1980",nan,20
Mad Max,8750000,"March 21, 1980",Sci-Fi,98
The Big Brawl,8527743,"August 29, 1980",Period,42
The Awakening,8415112,"October 31, 1980",nan,51
Fatso,7653061,"February 1, 1980",nan,66
How to Beat the High Cost of Living,7500000,"January 1, 1980",Crime,48
How to Become a Detective,7500000,"June 1, 1980",nan,
Foxes,7470348,"February 29, 1980",nan,58
The Big Red One,7206220,"July 18, 1980",nan,78
The Stunt Man,7063886,"June 27, 1980",nan,76
The Stunt Man,7063886,"June 27, 1980",nan,76
The Gong Show Movie,6621520,"May 23, 1980",nan,0
Motel Hell,6342668,"October 24, 1980",Horror,50
Little Miss Marker,6321392,"March 21, 1980",nan,55
"Oh, Heavenly Dog!",6216067,"July 11, 1980",nan,45
Divine Madness,5318098,"September 26, 1980",nan,92
In God We Trust,5215015,"September 26, 1980",nan,0
He Knows You're Alone,4875436,"August 29, 1980",nan,29
Coast to Coast,4495445,"October 3, 1980",nan,30
Willie & Phil,4400000,1980,nan,33
Melvin and Howard,4309490,"October 24, 1980",nan,62
Roadie,4226370,"June 13, 1980",nan,33
Gloria,4059673,"October 1, 1980",nan,63
Jaws 2,4028735,"February 15, 1980",nan,38
Kagemusha,4000000,"October 10, 1980",Foreign,92
Resurrection,3910019,"September 26, 1980",nan,64
Hide in Plain Sight,3806930,"March 21, 1980",nan,44
Guyana: Cult of the Damned,3798102,"January 25, 1980",nan,
When Time Ran Out,3763988,"March 28, 1980",Action,17
Heaven's Gate,3484331,"November 19, 1980",Western,55
Ffolkes,2993772,"April 18, 1980",nan,42
Midnight Madness,2900000,"February 8, 1980",Comedy,72
Loving Couples,2806659,"October 24, 1980",nan,23
The Idolmaker,2625716,"November 14, 1980",nan,89
The Black Marble,2500000,"January 1, 1980",nan,64
Raiders of the Lost Ark,212222025,"June 12, 1981",Period,96
On Golden Pond,119285432,"December 4, 1981",Drama,87
Superman II,108185706,"June 19, 1981",Action,75
Arthur,95461682,"July 17, 1981",Romantic,45
Stripes,85297000,"June 26, 1981",Comedy,80
The Cannonball Run,72179579,"June 19, 1981",Comedy,62
Chariots of Fire,58972904,"September 25, 1981",Sports,81
For Your Eyes Only,54812802,"June 26, 1981",Action,64
The Four Seasons,50427646,"May 22, 1981",Comedy,75
Time Bandits,42365581,"November 6, 1981",Adventure,77
Clash of the Titans,41092328,"June 12, 1981",Fantasy,70
Absence of Malice,40716963,"November 20, 1981",Drama,61
Reds,40382659,"December 4, 1981",Historical,83
The Fox and the Hound,39900000,"July 10, 1981",Animation,78
"Tarzan, the Ape Man",36565280,"July 24, 1981",Period,69
Taps,35856053,"December 9, 1981",Drama,67
Sharky's Machine,35610100,"December 18, 1981",Action,61
Excalibur,34967437,"April 10, 1981",Fantasy,81
"History of the World, Part I",31672907,"June 12, 1981",Comedy,
Bustin' Loose,31261269,"May 22, 1981",Comedy,64
The Great Muppet Caper,31206251,"June 26, 1981",Family,79
Endless Love,31184024,"July 17, 1981",Romance,59
An American Werewolf in London,30565292,"August 21, 1981",Horror,85
Neighbors,29916207,"December 18, 1981",Comedy,51
