movie_title,domestic_total_gross,runtime,budget,release_date,distributor,genre,actors,director,producers,rank_year,rank_history,number_theaters,close_date,imdb_rating,metascore_rating,rt_critics,rt_audience,video_sales
Big Top Pee-Wee,"$15,122,324",1 hrs. 22 min.,N/A,"July 22, 1988",Paramount,"['Adventure', 'Comedy', 'Romance']","['Paul Reubens', 'Penelope Ann Miller', 'Kris Kristofferson']",Randal Kleiser,,65,"3,522","1,256 theaters",,49,,35,31,
Arthur 2: On the Rocks,"$14,681,192",1 hrs. 53 min.,N/A,"July 8, 1988",Warner Bros.,"['Comedy', 'Romance']","['Dudley Moore', 'Liza Minnelli', 'John Gielgud']",Bud Yorkin,,66,"3,583","1,426 theaters",,42,,13,31,
School Daze,"$14,545,844",2 hrs. 1 min.,N/A,"February 12, 1988",Columbia,"['Comedy', 'Drama', 'Musical']","['Laurence Fishburne', 'Giancarlo Esposito', 'Tisha Campbell-Martin']",['Spike Lee'],,67,"3,599",224 theaters,,57,,58,81,
Poltergeist III,"$14,114,488",1 hrs. 37 min.,N/A,"June 10, 1988",MGM,"['Horror', 'Thriller']","['', 'IMDb', 'Movies']",Gary Sherman,,68,"3,657","1,471 theaters",,45,,13,23,
Stand and Deliver,"$13,994,920",1 hrs. 43 min.,N/A,"March 11, 1988",Warner Bros.,['Drama'],"['', 'IMDb', 'Movies']",,,69,"3,681",472 theaters,,74,,73,79,
My Stepmother is an Alien,"$13,854,000",1 hrs. 47 min.,N/A,"December 9, 1988",Columbia,"['Comedy', 'Romance', 'Sci-Fi']","['Dan Aykroyd', 'Kim Basinger', 'Jon Lovitz']",Richard Benjamin,['Laurence Mark* (Executive)'],70,"3,692","1,148 theaters",,52,,19,30,
The Milagro Beanfield War,"$13,825,794",1 hrs. 58 min.,N/A,"March 18, 1988",Universal,"['Comedy', 'Fantasy', 'Drama']",,['Robert Redford'],,71,"3,697",437 theaters,,69,,59,76,
Return to Snowy River,"$13,687,027",1 hrs. 39 min.,N/A,"April 15, 1988",Buena Vista,"['Adventure', 'Drama', 'Western']","['Tom Burlinson', 'Sigrid Thornton', 'Brian Dennehy']",Geoff Burrowes,,72,"3,710","1,121 theaters",,65,,None,83,
Vice Versa,"$13,664,060",1 hrs. 39 min.,N/A,"March 11, 1988",Columbia,"['Animation', 'Comedy', 'Family']","['Diane Lane', 'Amy Poehler', 'Kyle MacLachlan']",,,73,"3,716","1,225 theaters",,,,43,41,
I'm Gonna Git You Sucka,"$13,030,057",1 hrs. 29 min.,N/A,"December 16, 1988",United Artists,"['Action', 'Comedy']","['Keenen Ivory Wayans', 'Bernie Casey', 'Antonio Fargas']",['Keenen Ivory Wayans'],,74,"3,796",266 theaters,,65,48,63,70,
They Live,"$13,008,928",1 hrs. 37 min.,N/A,"November 4, 1988",Universal,"['Action', 'Comedy', 'Horror', 'Sci-Fi']","['Roddy Piper', 'Keith David', 'Meg Foster']",['John Carpenter'],['Larry J. Franco'],75,"3,802","1,463 theaters",,73,52,,,
Mystic Pizza,"$12,793,213",1 hrs. 45 min.,N/A,"October 21, 1988",Samuel Goldwyn,"['Comedy', 'Drama', 'Romance']","['Annabeth Gish', 'Julia Roberts', 'Lili Taylor']",Donald Petrie,,76,"3,830",440 theaters,,62,6,,,
D.O.A.,"$12,706,478",1 hrs. 37 min.,N/A,"March 18, 1988",Buena Vista,"['Action', 'Adventure']","['Jaime Pressly', 'Devon Aoki', 'Sarah Carter']",Corey Yuen,['Laura Ziskin'],77,"3,840",908 theaters,,48,38,79,None,
Casual Sex?,"$12,277,096",1 hrs. 28 min.,N/A,"April 22, 1988",Universal,['Comedy'],"['Lea Thompson', 'Victoria Jackson', 'Stephen Shellen']",,['Ivan Reitman (executive producer)'],79,"3,895","1,265 theaters",,49,,None,31,
Bloodsport,"$11,806,119",1 hrs. 32 min.,N/A,"February 26, 1988",Cannon Films,"['Action', 'Biography', 'Drama', 'Sport']","['Jean-Claude Van Damme', 'Donald Gibb', 'Leah Ayres']",Newt Arnold,,81,"3,948",124 theaters,,68,,33,75,
Caddyshack II,"$11,798,302",1 hrs. 39 min.,N/A,"July 22, 1988",Warner Bros.,"['Comedy', 'Sport']","['Jackie Mason', 'Robert Stack', 'Dyan Cannon']",Allan Arkush,['Jon Peters'],82,"3,952","1,556 theaters",,36,,,,
The Couch Trip,"$11,005,304",1 hrs. 37 min.,N/A,"January 15, 1988",Lorimar,['Comedy'],"['Dan Aykroyd', 'Walter Matthau', 'Charles Grodin']",Michael Ritchie,['Lawrence Gordon'],84,"4,054","1,332 theaters",,56,,,,
Moving,"$10,815,378",1 hrs. 29 min.,N/A,"March 4, 1988",Warner Bros.,['Comedy'],"['Richard Pryor', 'Beverly Todd', 'Stacey Dash']",Alan Metter,,85,"4,081","1,404 theaters",,61,,None,None,
Shakedown,"$10,068,039",1 hrs. 37 min.,N/A,"May 6, 1988",Universal,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']","['Peter Weller', 'Sam Elliott', 'Richard Brooks']",James Glickenhaus,,87,"4,204","1,580 theaters",,58,,71,41,
The Unbearable Lightness of Being,"$10,006,806",2 hrs. 52 min.,N/A,"February 5, 1988",Orion Pictures,"['Drama', 'Romance']","['Daniel Day-Lewis', 'Juliette Binoche', 'Lena Olin']",['Philip Kaufman'],,88,"4,219",140 theaters,,74,,95,85,
Bad Dreams,"$9,797,098",1 hrs. 20 min.,N/A,"April 8, 1988",Fox,"['Horror', 'Thriller']","['Jennifer Rubin', 'Bruce Abbott', 'Richard Lynch']",['Andrew Fleming'],['Gale Anne Hurd'],89,"4,245","1,185 theaters",,55,,11,42,
Switching Channels,"$9,129,999",1 hrs. 45 min.,N/A,"March 4, 1988",TriStar,"['Comedy', 'Crime']","['Kathleen Turner', 'Burt Reynolds', 'Christopher Reeve']",Ted Kotcheff,['Don Carmody (executive producer)'],91,"4,325",971 theaters,,59,,,,
Clean and Sober,"$8,674,093",2 hrs. 4 min.,N/A,"August 12, 1988",Warner Bros.,['Drama'],"['Michael Keaton', 'Kathy Baker', 'Morgan Freeman']",Glenn Gordon Caron,['Ron Howard (executive)'],93,"4,379",675 theaters,,67,,58,62,
U2: Rattle and Hum,"$8,600,823",1 hrs. 38 min.,N/A,"November 4, 1988",Paramount,"['Documentary', 'Music']","['Bono', 'The Edge', 'Adam Clayton']",Phil Joanou,,94,"4,390","1,391 theaters",,74,,,,
High Spirits,"$8,578,231",1 hrs. 39 min.,N/A,"November 18, 1988",TriStar,"['Comedy', 'Fantasy', 'Horror', 'Romance']","[""Peter O'Toole"", 'Daryl Hannah', 'Steve Guttenberg']",['Neil Jordan'],,95,"4,395",826 theaters,,56,,17,60,
Without a Clue,"$8,539,181",1 hrs. 47 min.,N/A,"October 21, 1988",Orion Pictures,"['Comedy', 'Crime', 'Mystery']","['Michael Caine', 'Ben Kingsley', 'Jeffrey Jones']",Thom Eberhardt,,96,"4,402",491 theaters,,70,,,,
The Last Temptation of Christ,"$8,373,585",2 hrs. 43 min.,N/A,"August 12, 1988",Universal,['Drama'],"['Willem Dafoe', 'Harvey Keitel', 'Barbara Hershey']",['Martin Scorsese'],,97,"4,424",123 theaters,,76,8,84,84,
Satisfaction,"$8,253,123",1 hrs. 32 min.,N/A,"February 12, 1988",Fox,['Drama'],"['Stephanie Szostak', 'Blair Redford', 'Katherine LaNasa']",,,98,"4,448","1,018 theaters",,73,,None,None,
The Blob,"$8,247,943",1 hrs. 35 min.,N/A,"August 5, 1988",TriStar,"['Horror', 'Sci-Fi']","['Shawnee Smith', 'Kevin Dillon', 'Donovan Leitch Jr.']",Chuck Russell,,99,"4,450","1,081 theaters",,63,,61,54,
