movie_title,domestic_total_gross,runtime,budget,release_date,distributor,genre,actors,director,producers,rank_year,rank_history,number_theaters,close_date,imdb_rating,metascore_rating,rt_critics,rt_audience,video_sales
Boyhood,"$25,352,281",2 hrs. 46 min.,$4 million,"July 11, 2014",IFC,['Drama'],"['Ellar Coltrane', 'Patricia Arquette', 'Ethan Hawke']",['Richard Linklater'],"['Richard Linklater', 'John Sloss']",,"2,621",775 theaters,"March 22, 2015",81,,98,82,"$4,741,626"
That Awkward Moment,"$26,068,955",1 hrs. 34 min.,$8 million,"January 31, 2014",Focus Features,"['Comedy', 'Romance']","['Zac Efron', 'Michael B. Jordan', 'Miles Teller']",['Tom Gormican'],"['Scott Aversano', 'Zac Efron (executive)Justin Nappi', ""Andrew O'Connor"", 'Peter Schlessel (executive)Kevin Turen']",,"2,561","2,809 theaters","April 3, 2014",61,36,23,47,"$1,095,348"
A Walk Among the Tombstones,"$26,307,600",1 hrs. 54 min.,$28 million,"September 19, 2014",Universal,"['Crime', 'Drama', 'Mystery', 'Thriller']","['', 'IMDb', 'Movies']",['Scott Frank'],"['Danny De', 'Vito', 'Michael Shamberg', 'Stacey Sher']",,"2,547","2,714 theaters","October 23, 2014",65,57,65,54,"$9,155,590"
The Best of Me,"$26,766,213",1 hrs. 57 min.,$26 million,"October 17, 2014",Relativity,"['Drama', 'Romance']","['', 'IMDb', 'Movies']",['Michael Hoffman'],"['Denise Di Novi', 'Alison Greenspan', 'Ryan Kavanaugh', 'Tucker Tooley (executive)']",,"2,520","2,936 theaters","January 15, 2015",66,29,8,60,"$9,758,455"
Oculus,"$27,695,246",1 hrs. 45 min.,$5 million,"April 11, 2014",Relativity,['Horror'],"['', 'IMDb', 'Movies']",['Mike Flanagan'],"['Marc D. Evans', 'Trevor Macy']",,"2,468","2,648 theaters","June 26, 2014",65,6,73,52,"$4,016,909"
Draft Day,"$28,842,237",1 hrs. 50 min.,N/A,"April 11, 2014",Lionsgate/Summit,"['Drama', 'Sport']","['', 'IMDb', 'Movies']",['Ivan Reitman'],"['Ali Bell', 'Joe Medjuck', 'Tom Pollock (executive)Gigi Pritzker', 'Ivan Reitman']",,"2,411","2,781 theaters","June 19, 2014",68,54,61,66,
When the Game Stands Tall,"$30,127,963",1 hrs. 55 min.,$15 million,"August 22, 2014",TriStar,"['Drama', 'Sport']","['Jim Caviezel', 'Alexander Ludwig', 'Michael Chiklis']",['Thomas Carter'],['David Zelon'],,"2,347","2,766 theaters","November 2, 2014",67,4,18,74,
Deliver Us From Evil,"$30,577,122",1 hrs. 58 min.,$30 million,"July 2, 2014",Sony / Screen Gems,"['Horror', 'Thriller']","['', 'IMDb', 'Movies']",['Scott Derrickson'],['Paul Harris Boardman (executive)Jerry Bruckheimer'],,"2,321","3,049 theaters","August 10, 2014",62,4,100,89,
3 Days to Kill,"$30,697,999",1 hrs. 57 min.,$28 million,"February 21, 2014",Relativity,"['Action', 'Drama', 'Thriller']","['', 'IMDb', 'Movies']","['c', 'GM']","['Luc Besson', 'Adi Hasak', 'Ryan Kavanaugh', 'Virginie Silla', 'Tucker Tooley (executive)']",,"2,311","2,872 theaters","May 15, 2014",62,4,28,44,"$10,148,521"
Get On Up,"$30,703,100",2 hrs. 18 min.,N/A,"August 1, 2014",Universal,"['Biography', 'Drama', 'Music']","['Chadwick Boseman', 'Nelsan Ellis', 'Dan Aykroyd']",['Tate Taylor'],"['Brian Grazer', 'Mick Jagger']",,"2,309","2,469 theaters","September 18, 2014",70,7,80,70,"$4,427,236"
Chef,"$31,424,003",1 hrs. 55 min.,N/A,"May 9, 2014",Open Road Films,"['Comedy', 'Drama']","['Jon Favreau', 'Robert Downey Jr.', 'Scarlett Johansson']",['Jon Favreau'],['Jon Favreau'],,"2,271","1,298 theaters","September 11, 2014",73,68,,,"$6,875,327"
