movie_title,domestic_total_gross,genre,rt_critics,runtime
The Empire Strikes Back,209398025,Sci-Fi,97,129
9 to 5,103290500,Comedy,73,110
Stir Crazy,101300000,Comedy,77,111
Airplane!,83453539,Comedy,73,88
Any Which Way You Can,70687344,Action,45,116
Private Benjamin,69847348,Comedy,60,110
Coal Miner's Daughter,67182787,Music,86,125
Smokey and the Bandit II,66132626,Action,46,101
The Blue Lagoon,58853106,Romance,54,105
The Blues Brothers,57229890,Comedy,93,150
Ordinary People,54766923,Drama,88,124
Popeye,49823037,Musical,76,113
Urban Cowboy,46918287,Romance,82,134
The Shining,44017374,Horror,93,146
Seems Like Old Times,43995918,Romantic,64,100
Cheech & Chong's Next Movie,41675194,Comedy,72,99
Caddyshack,39846344,Sports,88,99
Friday the 13th,39754601,Horror,46,95
Brubaker,37121708,Drama,75,132
Little Darlings,34326249,Comedy,75,95
Dressed to Kill,31899000,Thriller,75,105
The Jazz Singer,27118000,Music,57,115
Flash Gordon,27107960,Sci-Fi,70,111
Lady and the Tramp,26114207,Animation,80,76
The Elephant Man,26010864,Period,93,123
Bronco Billy,24265659,Comedy,48,116
Raging Bull,23334953,Sports,93,129
Xanadu,22762571,Musical,58,96
American Gigolo,22743674,Romantic,51,117
My Bodyguard,22482952,Comedy,69,96
The Fog,21378361,Horror,19,90
Fame,21202829,Music,35,134
Tess,20093330,Romance,78,172
Altered States,19853892,Sci-Fi,71,103
Song of the South,19800000,Family,74,94
Cruising,19784223,Thriller,49,106
The Octagon,18971000,Action,31,103
The Aristocats,18000000,Animation,70,78
Honeysuckle Rose,17815212,Music,82,119
Herbie Goes BaFamilyas,17000000,Family,38,102
Rough Cut,16656125,Romantic,69,111
The Final Countdown,16647800,Sci-Fi,62,102
The Hunter,16274150,Action,68,97
Hero at Large,15934737,Comedy,51,115
The Long Riders,15795189,Western,74,99
The Island,15716828,Adventure,64,114
Close Encounters of the Third Kind,15693175,Sci-Fi,85,137
First Family,15198912,Comedy,10,104
Prom Night,14796236,Horror,38,94
The Nude Bomb,14662035,Comedy,39,94
"Oh, God! Book II",14504277,Fantasy,38,94
The Competition,14287755,Music,64,126
Wholly Moses,14155617,Comedy,44,104
Mary Poppins,14000000,Musical,86,139
Last Married Couple in America,12835544,Comedy,23,103
Used Cars,11715321,Comedy,70,113
The Mirror Crack'd,11000000,Thriller,47,105
The Last Flight of Noah's Ark,11000000,Family,49,98
The Fiendish Plot of Dr. Fu Manchu,10697276,Comedy,48,108
Stardust Memories,10389003,Comedy,79,91
The Hollywood Knights,10000000,Comedy,73,92
Serial,9870727,Comedy,80,90
Somewhere in Time,9709597,Romance,89,103
Saturn 3,9000000,Sci-Fi,30,88
Tribute,9000000,Family,48,121
The Formula,8894289,Family,20,117
Mad Max,8750000,Sci-Fi,98,94
The Big Brawl,8527743,Period,42,95
The Awakening,8415112,Family,51,105
Fatso,7653061,Family,66,93
How to Beat the High Cost of Living,7500000,Crime,48,105
How to Become a Detective,7500000,Family,50,100
Foxes,7470348,Family,58,106
The Big Red One,7206220,Family,78,73
The Stunt Man,7063886,Family,76,131
The Stunt Man,7063886,Family,76,131
The Gong Show Movie,6621520,Family,0,89
Motel Hell,6342668,Horror,50,102
Little Miss Marker,6321392,Family,55,103
"Oh, Heavenly Dog!",6216067,Family,45,103
Divine Madness,5318098,Family,92,86
In God We Trust,5215015,Family,0,97
He Knows You're Alone,4875436,Family,29,94
Coast to Coast,4495445,Family,30,94
Willie & Phil,4400000,Family,33,115
Melvin and Howard,4309490,Family,62,95
Roadie,4226370,Family,33,105
Gloria,4059673,Family,63,123
Jaws 2,4028735,Family,38,117
Kagemusha,4000000,Foreign,92,162
Resurrection,3910019,Family,64,103
Hide in Plain Sight,3806930,Family,44,92
Guyana: Cult of the Damned,3798102,Family,50,90
When Time Ran Out,3763988,Action,17,121
Heaven's Gate,3484331,Western,55,219
Ffolkes,2993772,Family,42,100
Midnight Madness,2900000,Comedy,72,112
Loving Couples,2806659,Family,23,97
The Idolmaker,2625716,Family,89,119
The Black Marble,2500000,Family,64,110
Raiders of the Lost Ark,212222025,Period,96,115
On Golden Pond,119285432,Drama,87,109
Superman II,108185706,Action,75,128
Arthur,95461682,Romantic,45,97
Stripes,85297000,Comedy,80,106
The Cannonball Run,72179579,Comedy,62,95
Chariots of Fire,58972904,Sports,81,123
For Your Eyes Only,54812802,Action,64,128
The Four Seasons,50427646,Comedy,75,107
Time Bandits,42365581,Adventure,77,115
Clash of the Titans,41092328,Fantasy,70,118
Absence of Malice,40716963,Drama,61,116
Reds,40382659,Historical,83,194
The Fox and the Hound,39900000,Animation,78,83
"Tarzan, the Ape Man",36565280,Period,69,115
Taps,35856053,Drama,67,126
Sharky's Machine,35610100,Action,61,122
Excalibur,34967437,Fantasy,81,140
"History of the World, Part I",31672907,Comedy,50,92
Bustin' Loose,31261269,Comedy,64,94
The Great Muppet Caper,31206251,Family,79,95
Endless Love,31184024,Romance,59,111
An American Werewolf in London,30565292,Horror,85,93
Neighbors,29916207,Comedy,51,94
"Fort Apache, The Bronx",29200000,Action,67,125
Cinderella,28040000,Animation,53,76
