movie title,domestic total gross,runtime,budget,release date,distributor,genre,actors,director,producers,rank in year,rank in history,number of theaters,close date
The Empire Strikes Back,"$209,398,025",2 hrs. 9 min.,$18 million,"May 21, 1980",Fox,Sci-Fi Fantasy,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']",['Irvin Kershner'],['George Lucas (Executive)'],1,60,"1,278 theaters",
9 to 5,"$103,290,500",1 hrs. 50 min.,N/A,"December 19, 1980",Fox,Comedy,,,,2,558,,
Stir Crazy,"$101,300,000",1 hrs. 51 min.,N/A,"December 12, 1980",Columbia,Comedy,,['Sidney Poitier'],,3,584,,
Airplane!,"$83,453,539",1 hrs. 28 min.,$3.5 million,"June 27, 1980",Paramount,Comedy,,"['Jim Abrahams', 'David Zucker', 'Jerry Zucker']",['Jim Abrahams (executive producer)Hunt Lowry* (Associate)David Zucker (executive producer)Jerry Zucker (executive producer)'],4,756,,
Any Which Way You Can,"$70,687,344",1 hrs. 56 min.,N/A,"December 17, 1980",Warner Bros.,Action Comedy,,,,5,957,,
Private Benjamin,"$69,847,348",1 hrs. 50 min.,N/A,"October 10, 1980",Warner Bros.,Comedy,['Albert Brooks*Craig T. Nelson*'],,"['Nancy Meyers', 'Charles Shyer']",6,980,,
Coal Miner's Daughter,"$67,182,787",2 hrs. 5 min.,N/A,"March 7, 1980",Universal,Music Drama,"['Sissy Spacek', 'Tommy Lee Jones']",['Michael Apted'],,7,"1,015",,
Smokey and the Bandit II,"$66,132,626",1 hrs. 41 min.,N/A,"August 15, 1980",Universal,Action Comedy,"['Burt Reynolds', 'Sally Field']",,,8,"1,042",,
The Blue Lagoon,"$58,853,106",1 hrs. 45 min.,N/A,"June 20, 1980",Columbia,Romance,,,,9,"1,201",,
The Blues Brothers,"$57,229,890",2 hrs. 30 min.,N/A,"June 20, 1980",Universal,Comedy,"['John Belushi', 'Dan Aykroyd', 'Carrie Fisher*']",['John Landis'],['Robert K. Weiss'],10,"1,246",,
Ordinary People,"$54,766,923",2 hrs. 4 min.,N/A,"September 19, 1980",Paramount,Drama,,['Robert Redford'],,11,"1,307",,
Popeye,"$49,823,037",1 hrs. 53 min.,N/A,"December 12, 1980",Paramount,Musical,,['Robert Altman'],,12,"1,470",901 theaters,
Urban Cowboy,"$46,918,287",2 hrs. 14 min.,N/A,"June 6, 1980",Paramount,Romance,,,,13,"1,553",,
The Shining,"$44,017,374",2 hrs. 26 min.,$19 million,"May 23, 1980",Warner Bros.,Horror,,,,14,"1,633",,
Seems Like Old Times,"$43,995,918",1 hrs. 40 min.,N/A,"December 19, 1980",Columbia,Romantic Comedy,,,,15,"1,643",,
Cheech & Chong's Next Movie,"$41,675,194",1 hrs. 39 min.,N/A,"July 18, 1980",Universal,Comedy,,,,16,"1,734",,
Caddyshack,"$39,846,344",1 hrs. 39 min.,N/A,"July 25, 1980",Warner Bros.,Sports Comedy,,['Harold Ramis'],['Jon Peters (executive)'],17,"1,814",,
Friday the 13th,"$39,754,601",1 hrs. 35 min.,N/A,"May 9, 1980",Paramount,Horror,,,,18,"1,818",,
Brubaker,"$37,121,708",2 hrs. 12 min.,N/A,"June 20, 1980",Fox,Drama,['Morgan Freeman*Robert Redford'],,,19,"1,950",,
Little Darlings,"$34,326,249",1 hrs. 35 min.,N/A,"March 21, 1980",Paramount,Comedy / Drama,,,,20,"2,099",,
Dressed to Kill,"$31,899,000",1 hrs. 45 min.,$6.5 million,"June 23, 1980",Orion Pictures,Thriller,,['Brian De Palma'],,21,"2,238",,
The Jazz Singer,"$27,118,000",1 hrs. 55 min.,N/A,"December 19, 1980",Universal,Music Drama,,,,22,"2,492",,
Flash Gordon,"$27,107,960",1 hrs. 51 min.,N/A,"December 5, 1980",Universal,Sci-Fi Adventure,,,,23,"2,495",,
Lady and the Tramp,"$26,114,207",1 hrs. 16 min.,N/A,"March 7, 1980",Buena Vista,Animation,,,,24,,,
The Elephant Man,"$26,010,864",2 hrs. 3 min.,N/A,"October 3, 1980",Paramount,Period Drama,"['Anthony Hopkins', 'Anne Bancroft']",['David Lynch'],,25,"2,563",,
Bronco Billy,"$24,265,659",1 hrs. 56 min.,N/A,"June 11, 1980",Warner Bros.,Comedy,,['Clint Eastwood'],,26,"2,697",,
Raging Bull,"$23,334,953",2 hrs. 9 min.,N/A,"November 14, 1980",MGM,Sports Drama,,['Martin Scorsese'],['Irwin Winkler'],27,"2,751",,
Xanadu,"$22,762,571",1 hrs. 36 min.,N/A,"August 8, 1980",Universal,Musical,,['Robert Greenwald'],"['Lawrence Gordon', 'Joel Silver']",28,"2,797",,
American Gigolo,"$22,743,674",1 hrs. 57 min.,N/A,"February 1, 1980",Paramount,Romantic Thriller,,['Paul Schrader'],['Jerry Bruckheimer'],29,"2,801",,
My Bodyguard,"$22,482,952",1 hrs. 36 min.,N/A,"July 11, 1980",Fox,Comedy,,,,30,"2,819",,
The Fog,"$21,378,361",1 hrs. 30 min.,N/A,"February 1, 1980",AVCO Embassy,Horror,,['John Carpenter'],,31,"2,910",,
Fame,"$21,202,829",2 hrs. 14 min.,N/A,"May 16, 1980",MGM,Music Drama,,['Alan Parker'],,32,"2,926",,
Tess,"$20,093,330",2 hrs. 52 min.,N/A,"December 12, 1980",Columbia,Romance,,['Roman Polanski'],,33,"3,031",,
Altered States,"$19,853,892",1 hrs. 43 min.,N/A,"December 25, 1980",Warner Bros.,Sci-Fi Horror,"['William Hurt', 'Drew Barrymore*']",['Ken Russell'],,34,"3,053",,
Song of the South,"$19,800,000",1 hrs. 34 min.,N/A,"October 8, 1980",Buena Vista,Family,,,,35,"1,937",,
Cruising,"$19,784,223",1 hrs. 46 min.,N/A,"February 15, 1980",MGM,Thriller,"['Al Pacino', 'Paul Sorvino', 'Karen Allen']",['William Friedkin'],,36,"3,055",,
The Octagon,"$18,971,000",1 hrs. 43 min.,N/A,"August 14, 1980",American Cinema,Action,,,,37,"3,129",,
The Aristocats,"$18,000,000",1 hrs. 18 min.,N/A,"December 19, 1980",Buena Vista,Animation,,,,38,"3,213",,
Honeysuckle Rose,"$17,815,212",1 hrs. 59 min.,N/A,"July 18, 1980",Warner Bros.,Music Drama,,,['Sydney Pollack (executive)'],39,"3,226",,
Herbie Goes Bananas,"$17,000,000",1 hrs. 42 min.,N/A,"June 25, 1980",Buena Vista,Family Comedy,,"['Vincent Mc', 'Eveety']",,40,"3,214",,
Rough Cut,"$16,656,125",1 hrs. 51 min.,N/A,"June 20, 1980",Paramount,Romantic Adventure,,,,41,"3,356",,
The Final Countdown,"$16,647,800",1 hrs. 42 min.,N/A,"August 1, 1980",MGM,Sci-Fi Adventure,,,,42,"3,359",,
