movie_title,domestic_total_gross,runtime,budget,release_date,distributor,genre,actors,director,producers,rank_year,rank_history,number_theaters,close_date,rt_critics,rt_audience
The Empire Strikes Back,209398025,2 hrs. 9 min.,18000000,"May 21, 1980",Fox,Sci-Fi Fantasy,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']",['Irvin Kershner'],['George Lucas (Executive)'],1,60,1278,,97,96
9 to 5,103290500,1 hrs. 50 min.,nan,"December 19, 1980",Fox,Comedy,,,,2,558,,,73,82
Stir Crazy,101300000,1 hrs. 51 min.,nan,"December 12, 1980",Columbia,Comedy,,['Sidney Poitier'],,3,584,,,77,67
Airplane!,83453539,1 hrs. 28 min.,3500000,"June 27, 1980",Paramount,Comedy,,"['Jim Abrahams', 'David Zucker', 'Jerry Zucker']",['Jim Abrahams (executive producer)Hunt Lowry* (Associate)David Zucker (executive producer)Jerry Zucker (executive producer)'],4,756,,,73,-1
Any Which Way You Can,70687344,1 hrs. 56 min.,nan,"December 17, 1980",Warner Bros.,Action Comedy,,,,5,957,,,45,20
Private Benjamin,69847348,1 hrs. 50 min.,nan,"October 10, 1980",Warner Bros.,Comedy,['Albert Brooks*Craig T. Nelson*'],,"['Nancy Meyers', 'Charles Shyer']",6,980,,,60,88
Coal Miner's Daughter,67182787,2 hrs. 5 min.,nan,"March 7, 1980",Universal,Music Drama,"['Sissy Spacek', 'Tommy Lee Jones']",['Michael Apted'],,7,"1,015",,,86,100
Smokey and the Bandit II,66132626,1 hrs. 41 min.,nan,"August 15, 1980",Universal,Action Comedy,"['Burt Reynolds', 'Sally Field']",,,8,"1,042",,,46,20
The Blue Lagoon,58853106,1 hrs. 45 min.,nan,"June 20, 1980",Columbia,Romance,,,,9,"1,201",,,54,11
The Blues Brothers,57229890,2 hrs. 30 min.,27000000,"June 20, 1980",Universal,Comedy,"['John Belushi', 'Dan Aykroyd', 'Carrie Fisher*']",['John Landis'],['Robert K. Weiss'],10,"1,246",,,93,87
Ordinary People,54766923,2 hrs. 4 min.,nan,"September 19, 1980",Paramount,Drama,,['Robert Redford'],,11,"1,307",,,88,92
